task_lang,transfer_lang,accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,genetic,syntactic,featural,phonological,inventory,geographic
rus,ron,59.13,8,22,0.1591592869999999,8795,6491,1.354953011862579,0.167303215,0.247722217,0.1053870971591901,0.8889,0.4839,0.4394,0.2163,0.4279,0.1729
rus,hrv,65.32,3,27,0.156491575,7832,6491,1.2065937451856417,0.216688845,0.247722217,0.0156937965623282,0.625,0.7925,0.6252,0.6162,0.4214,0.2005
rus,ara,36.46,26,4,0.101398631,6984,6491,1.0759513172084425,0.1033986809999999,0.247722217,0.3394254522639913,1.0,0.5654,0.6364,0.6162,0.688,1.0
rus,lav,54.69,14,16,0.1168509059999999,6475,6491,0.997535048528732,0.268650981,0.247722217,0.0071376828233272,0.5,0.5206,0.6197,0.2048,0.688,0.1495
rus,heb,39.76,24,6,0.137630083,5725,6491,0.8819904483130488,0.117344567,0.247722217,0.2769978393220895,1.0,0.429,0.5525,0.6162,0.6156,0.195
rus,ukr,69.6,1,29,0.1851375189999999,5090,6491,0.7841626867971037,0.31926283,0.247722217,0.0834017950517722,0.3333,0.3695,0.4288,0.6162,0.385,0.1673
rus,ind,48.09,23,7,0.123422172,5036,6491,0.7758434755815745,0.197096308,0.247722217,0.0417653141205777,1.0,0.6099,0.5319,0.2804,0.503,0.3823
rus,dan,52.3,19,11,0.098603073,4947,6491,0.7621321830226467,0.203165045,0.247722217,0.032352311941798,0.8571,0.5836,0.7261,0.6162,0.688,0.1969
rus,swe,51.71,21,9,0.06427226,4807,6491,0.7405638576490525,0.193727962,0.247722217,0.0475078296271544,0.8571,0.5616,0.6058,0.6162,0.578,0.1651
rus,zho,34.69,27,3,0.1062482419999999,4497,6491,0.6928054228932368,0.178585916,0.247722217,0.0778901182826674,1.0,0.5654,0.6364,0.6162,0.688,1.0
nor,ces,61.16,16,14,0.178684302,114304,3450,33.13159420289855,0.091965586,0.206890882,0.3085663475402295,0.8571,0.5122,0.7061,0.0002,0.6784,0.0585
nor,rus,62.73,14,16,0.116973273,55398,3450,16.057391304347828,0.123916395,0.206890882,0.1608445869959945,0.8,0.6169,0.7463,0.6162,0.688,0.1847
nor,spa,63.41,10,20,0.1653848259999999,31546,3450,9.143768115942027,0.0791871859999999,0.206890882,0.380999347119402,0.9231,0.6506,0.7684,0.5922,0.6832,0.1153
nor,kor,16.34,29,1,0.103783409,30426,3450,8.81913043478261,0.294432976,0.206890882,0.1790404493901921,1.0,0.7274,0.8185,0.6409999999999999,0.6737,0.3892
nor,est,54.56,21,9,0.138073403,23460,3450,6.8,0.221928097,0.206890882,0.0052826533907944,1.0,0.6257,0.6257,0.0002,0.0,0.0359
nor,pol,58.08,20,10,0.146769214,22646,3450,6.564057971014493,0.223329008,0.206890882,0.0063127982205503,0.8333,0.617,0.7655,0.6162,0.6597,0.0526
nor,nld,65.6,6,24,0.200898811,19452,3450,5.638260869565217,0.133302703,0.206890882,0.1265124918967197,0.7,0.4658,0.7082,0.0002,0.6068,0.047
nor,por,63.03,12,18,0.152596869,19763,3450,5.728405797101449,0.095460698,0.206890882,0.2900834775722393,0.9333,0.5702,0.7396,0.0002,0.6328,0.1109
nor,lat,43.69,24,6,0.024790369,17140,3450,4.9681159420289855,0.158874645,0.206890882,0.0538633724049505,0.8333,0.47,0.47,0.0002,0.0,0.1009
nor,fra,65.42,7,23,0.153546831,16032,3450,4.64695652173913,0.118520741,0.206890882,0.1824434994080858,0.9375,0.6111,0.7746,0.5456,0.6025,0.0715
nor,deu,66.53,4,26,0.177222821,14613,3450,4.235652173913043,0.187631727,0.206890882,0.0086654626509229,0.5714,0.5422,0.7375,0.5456,0.6153,0.0636
nor,hin,29.05,28,2,0.068817479,14963,3450,4.337101449275362,0.060393443,0.206890882,0.501391957130235,0.875,0.6639,0.8172,0.5922,0.5363,0.3173
nor,cat,60.37,17,13,0.1802188569999999,14832,3450,4.299130434782609,0.074013319,0.206890882,0.4124968218676225,0.9091,0.4082,0.7002,0.6162,0.6461,0.1031
nor,ita,65.94,5,25,0.173459508,13685,3450,3.966666666666667,0.102554534,0.206890882,0.254324711591998,0.9,0.5779,0.7243,0.0002,0.6737,0.0946
nor,eng,72.48,2,28,0.175231553,14545,3450,4.215942028985507,0.0961556319999999,0.206890882,0.2864765506158098,0.7,0.5872,0.7601,0.5687,0.5983,0.0513
nor,fin,47.95,23,7,0.130090064,13581,3450,3.9365217391304346,0.302519355,0.206890882,0.2136445112763436,1.0,0.6111,0.7597,0.5687,0.6506,0.0478
nor,bul,63.95,9,21,0.1131368859999999,10022,3450,2.904927536231884,0.201446082,0.206890882,0.0006925978856075,0.8571,0.5779,0.7525,0.6162,0.6416,0.1054
nor,slv,61.87,15,15,0.137452274,9290,3450,2.692753623188406,0.237767323,0.206890882,0.0222726436325631,0.8333,0.5342,0.7157,0.0002,0.669,0.078
nor,slk,58.74,19,11,0.1225086319999999,9543,3450,2.766086956521739,0.261917468,0.206890882,0.0707395732523525,0.8333,0.718,0.838,0.0002,0.0,0.0696
nor,ron,63.33,11,19,0.13332359,8795,3450,2.5492753623188404,0.167303215,0.206890882,0.0366131516784058,0.8889,0.6104,0.764,0.6409999999999999,0.6552,0.0888
nor,hrv,62.98,13,17,0.157657246,7832,3450,2.270144927536232,0.216688845,0.206890882,0.0022427914307449,0.875,0.6875,0.9047,0.0002,0.6832,0.0853
nor,ara,37.32,27,3,0.084491861,6984,3450,2.0243478260869567,0.1033986809999999,0.206890882,0.2502260639420608,1.0,0.718,0.838,0.0002,0.0,1.0
nor,lav,59.73,18,12,0.119457791,6475,3450,1.8768115942028984,0.268650981,0.206890882,0.0891113996068163,0.75,0.6802,0.7274,0.5922,0.0,0.0451
nor,heb,39.59,26,4,0.109958165,5725,3450,1.6594202898550725,0.117344567,0.206890882,0.187332330039128,1.0,0.6375,0.7323,0.0002,0.7028,0.1853
nor,ukr,64.3,8,22,0.117758819,5090,3450,1.4753623188405798,0.31926283,0.206890882,0.2950075405895644,0.8333,0.5779,0.7243,0.0002,0.6737,0.0803
nor,ind,52.98,22,8,0.127477667,5036,3450,1.4597101449275365,0.197096308,0.206890882,0.0022412401887895,1.0,0.6608,0.7965,0.5687,0.669,0.5622
nor,dan,68.94,3,27,0.528069566,4947,3450,1.4339130434782608,0.203165045,0.206890882,0.0003243134799531,0.4286,0.5801,0.5801,0.0002,0.0,0.0286
nor,swe,72.67,1,29,0.34269899,4807,3450,1.393333333333333,0.193727962,0.206890882,0.0040478254952898,0.4286,0.4531,0.7023,0.0002,0.6153,0.0206
nor,zho,39.73,25,5,0.103856483,4497,3450,1.3034782608695652,0.178585916,0.206890882,0.0187172729219721,1.0,0.718,0.838,0.0002,0.0,1.0
spa,ces,58.28,17,13,0.18863457,114304,2147,53.23893805309734,0.091965586,0.1929523189999999,0.2739230888614469,0.8571,0.623,0.6134,0.5922,0.5431,0.0821
spa,rus,63.84,10,20,0.128603928,55398,2147,25.802515137401024,0.123916395,0.1929523189999999,0.1280118809368482,0.8,0.4508,0.4754,0.3613,0.5273,0.2742
spa,nor,64.74,8,22,0.221536128,34170,2147,15.91523055426176,0.106159434,0.1929523189999999,0.2023337096683337,0.8333,0.6506,0.7684,0.5922,0.6832,0.1153
spa,kor,21.31,29,1,0.114226906,30426,2147,14.17140195621798,0.294432976,0.1929523189999999,0.2766091457636196,1.0,0.6805,0.6115,0.5319,0.5505,0.4956
spa,est,42.41,25,5,0.138585821,23460,2147,10.926874708896134,0.221928097,0.1929523189999999,0.0225512285370057,1.0,0.5485,0.7070000000000001,0.5922,0.6832,0.1347
spa,pol,45.23,24,6,0.1173220669999999,22646,2147,10.547741034000932,0.223329008,0.1929523189999999,0.0247845401056441,0.8333,0.5489,0.5011,0.3613,0.4801,0.0984
spa,nld,65.33,7,23,0.239782101,19452,2147,9.060083837913368,0.133302703,0.1929523189999999,0.0955686165871949,0.9,0.5770000000000001,0.6034,0.5922,0.557,0.0683
spa,por,74.58,2,28,0.4665026229999999,19763,2147,9.204937121564974,0.095460698,0.1929523189999999,0.2552904553526889,0.2667,0.3983,0.4921,0.5922,0.4797,0.0156
spa,lat,45.37,23,7,0.083058638,17140,2147,7.983232417326502,0.158874645,0.1929523189999999,0.0311917601681306,0.1667,0.6920000000000001,0.7945,0.5922,0.6832,0.0573
spa,fra,74.37,3,27,0.359704103,16032,2147,7.467163483931067,0.118520741,0.1929523189999999,0.1488039459301655,0.4375,0.4148,0.5083,0.4788,0.5804,0.0438
spa,deu,61.27,13,17,0.156630608,14613,2147,6.806241266884024,0.187631727,0.1929523189999999,0.0007603611330925,0.8571,0.5047,0.5698,0.4788,0.6393,0.0703
spa,hin,31.24,28,2,0.070724422,14963,2147,6.969259431765254,0.060393443,0.1929523189999999,0.4719735064700861,0.875,0.5711,0.5758,0.4097,0.5922,0.3634
spa,cat,82.77,1,29,0.50062677,14832,2147,6.9082440614811365,0.074013319,0.1929523189999999,0.3799693452718723,0.0909,0.5376,0.4879,0.3613,0.4565,0.0205
spa,ita,73.88,4,26,0.287277342,13685,2147,6.374010246856078,0.102554534,0.1929523189999999,0.2194904219093977,0.3,0.4667,0.5255,0.5922,0.5037,0.0588
spa,eng,66.83,5,25,0.170682638,14545,2147,6.774569166278528,0.0961556319999999,0.1929523189999999,0.251663934146114,0.9,0.3987,0.4728,0.3433,0.5481,0.0698
spa,fin,35.25,27,3,0.139158426,13581,2147,6.3255705635770845,0.302519355,0.1929523189999999,0.3224480995143557,1.0,0.466,0.509,0.4477,0.5617,0.1597
spa,bul,63.79,11,19,0.12479688,10022,2147,4.667908709827667,0.201446082,0.1929523189999999,0.0019377612749689,0.8571,0.4116,0.5017,0.3613,0.5933,0.1089
spa,slv,60.46,15,15,0.143940449,9290,2147,4.326967862133209,0.237767323,0.1929523189999999,0.0539444629786315,0.8333,0.5433,0.5642,0.5922,0.5118,0.0717
spa,slk,54.7,20,10,0.123404058,9543,2147,4.444806707033069,0.261917468,0.1929523189999999,0.1277495422524947,0.8333,0.5588,0.629,0.5922,0.6832,0.0904
spa,ron,65.47,6,24,0.294767631,8795,2147,4.096413600372613,0.167303215,0.1929523189999999,0.0176703190873504,0.3333,0.4667,0.4864,0.4278,0.5114,0.1069
spa,hrv,60.74,14,16,0.170233839,7832,2147,3.647880763856544,0.216688845,0.1929523189999999,0.0151333232819818,0.875,0.7952,0.6326,0.5922,0.4327,0.0776
spa,ara,46.23,22,8,0.0701672929999999,6984,2147,3.2529110386585933,0.1033986809999999,0.1929523189999999,0.2154102979133033,1.0,0.5588,0.629,0.5922,0.6832,1.0
spa,lav,52.97,21,9,0.135769225,6475,2147,3.015836050302748,0.268650981,0.1929523189999999,0.1539133891909916,0.75,0.5770000000000001,0.6661,0.4097,0.6832,0.129
spa,heb,56.16,19,11,0.121113639,5725,2147,2.6665114112715416,0.117344567,0.1929523189999999,0.1535439278593294,1.0,0.4389,0.5722,0.5922,0.6441,0.1696
spa,ukr,61.35,12,18,0.11170435,5090,2147,2.3707498835584535,0.31926283,0.1929523189999999,0.4285277782267523,0.8333,0.5169,0.5579999999999999,0.5922,0.5275,0.1095
spa,ind,56.53,18,12,0.138384636,5036,2147,2.3455985095482066,0.197096308,0.1929523189999999,0.0004612508535431,1.0,0.5704,0.5109,0.4477,0.4627,0.6143
spa,dan,64.12,9,21,0.161505486,4947,2147,2.304145319049837,0.203165045,0.1929523189999999,0.0028014530954082,0.8571,0.5897,0.7312,0.5922,0.6832,0.089
spa,swe,60.41,16,14,0.116176857,4807,2147,2.2389380530973453,0.193727962,0.1929523189999999,1.6159344876055972e-05,0.8571,0.5176,0.6137,0.5922,0.6215,0.1252
spa,zho,35.92,26,4,0.1058699719999999,4497,2147,2.094550535631113,0.178585916,0.1929523189999999,0.0055436535949045,1.0,0.5588,0.629,0.5922,0.6832,1.0
kor,ces,14.61,16,14,0.125440152,114304,3276,34.89133089133089,0.091965586,0.465899158,0.6441767784799476,1.0,0.7102,0.6825,0.6409999999999999,0.6216,0.4141
kor,rus,15.6,9,21,0.117398796,55398,3276,16.91025641025641,0.123916395,0.465899158,0.5387962724482416,1.0,0.557,0.5941,0.5,0.6511,0.2272
kor,nor,15.32,11,19,0.117373823,34170,3276,10.43040293040293,0.106159434,0.465899158,0.5962013335595927,1.0,0.7274,0.8185,0.6409999999999999,0.6737,0.3892
kor,spa,12.19,24,6,0.124441226,31546,3276,9.629426129426127,0.0791871859999999,0.465899158,0.6889558364492705,1.0,0.6805,0.6115,0.5319,0.5505,0.4956
kor,est,16.17,7,23,0.1167744669999999,23460,3276,7.1611721611721615,0.221928097,0.465899158,0.2742159918986014,1.0,0.6175,0.7499,0.6409999999999999,0.6737,0.3622
kor,pol,14.86,15,15,0.103438803,22646,3276,6.912698412698413,0.223329008,0.465899158,0.2710758713127536,1.0,0.6505,0.5969,0.5,0.5633,0.3976
kor,nld,14.58,17,13,0.11924681,19452,3276,5.937728937728938,0.133302703,0.465899158,0.509625770154501,1.0,0.6626,0.61,0.6409999999999999,0.5145,0.4315
kor,por,13.76,21,9,0.123916789,19763,3276,6.0326617826617825,0.095460698,0.465899158,0.6321909711218328,1.0,0.7008,0.6299,0.6409999999999999,0.5185,0.4962
kor,lat,13.92,20,10,0.000249732,17140,3276,5.231990231990232,0.158874645,0.465899158,0.434272422356117,1.0,0.7323,0.8216,0.6409999999999999,0.6737,0.4515
kor,fra,12.06,26,4,0.121019904,16032,3276,4.893772893772894,0.118520741,0.465899158,0.5559321781923584,1.0,0.6903,0.5853,0.5804,0.4804,0.4552
kor,deu,17.39,3,27,0.120870065,14613,3276,4.460622710622711,0.187631727,0.465899158,0.3567310449798401,1.0,0.5646,0.5397,0.4934,0.5227,0.4258
kor,hin,22.94,1,29,0.062133207,14963,3276,4.567460317460317,0.060393443,0.465899158,0.7575479155122635,1.0,0.4724,0.531,0.5319,0.5579999999999999,0.2488
kor,cat,12.69,23,7,0.1216442319999999,14832,3276,4.527472527472527,0.074013319,0.465899158,0.7075144098004392,1.0,0.7489,0.6178,0.5,0.5198,0.4773
kor,ita,12.19,24,6,0.119596434,13685,3276,4.177350427350428,0.102554534,0.465899158,0.6082100981557959,1.0,0.6857,0.6557,0.6409999999999999,0.5861,0.4465
kor,eng,16.31,5,25,0.1219189369999999,14545,3276,4.43986568986569,0.0961556319999999,0.465899158,0.6298212446473307,1.0,0.6184,0.5443,0.4638,0.4866,0.4405
kor,fin,17.88,2,28,0.1170491719999999,13581,3276,4.145604395604396,0.302519355,0.465899158,0.1229738825851344,1.0,0.5924,0.4849,0.4638,0.3638,0.3414
kor,bul,14.06,18,12,0.116025273,10022,3276,3.059218559218559,0.201446082,0.465899158,0.3221909925003948,1.0,0.6654,0.605,0.5,0.5671,0.4068
kor,slv,15.27,12,18,0.1129286019999999,9290,3276,2.835775335775336,0.237767323,0.465899158,0.2397661868239756,1.0,0.6559999999999999,0.6243,0.6409999999999999,0.55,0.4283
kor,slk,14.9,14,16,0.1026396619999999,9543,3276,2.913003663003663,0.261917468,0.465899158,0.1916895863003541,1.0,0.5654,0.6315,0.6409999999999999,0.6737,0.4085
kor,ron,13.98,19,11,0.118647454,8795,3276,2.6846764346764345,0.167303215,0.465899158,0.4107560362133504,1.0,0.6654,0.6127,0.5702,0.5696,0.3995
kor,hrv,15.65,8,22,0.119321729,7832,3276,2.3907203907203907,0.216688845,0.465899158,0.2861199695521397,1.0,0.8976,0.7058,0.6409999999999999,0.5505,0.4261
kor,ara,6.64,29,1,0.0994680719999999,6984,3276,2.131868131868132,0.1033986809999999,0.465899158,0.6053873106909048,1.0,0.5654,0.6315,0.6409999999999999,0.6737,1.0
kor,lav,16.21,6,24,0.114177259,6475,3276,1.9764957264957264,0.268650981,0.465899158,0.1792429756131941,1.0,0.7057,0.7623,0.5319,0.6737,0.3666
kor,heb,8.55,28,2,0.115500837,5725,3276,1.7475579975579976,0.117344567,0.465899158,0.5597031662689154,1.0,0.6572,0.6474,0.6409999999999999,0.5886,0.4099
kor,ukr,15.16,13,17,0.112828709,5090,3276,1.5537240537240538,0.31926283,0.465899158,0.0990602232113709,1.0,0.6447,0.6364,0.6409999999999999,0.5861,0.3932
kor,ind,11.24,27,3,0.119096971,5036,3276,1.537240537240537,0.197096308,0.465899158,0.3328770752351244,1.0,0.6956,0.5688,0.4638,0.4569,0.2665
kor,dan,13.52,22,8,0.107908998,4947,3276,1.51007326007326,0.203165045,0.465899158,0.3180160785780253,1.0,0.6335,0.7595,0.6409999999999999,0.6737,0.41
kor,swe,15.54,10,20,0.114377045,4807,3276,1.4673382173382172,0.193727962,0.465899158,0.3412718543789162,1.0,0.6782,0.6111,0.6409999999999999,0.5026,0.374
kor,zho,16.68,4,26,0.109956796,4497,3276,1.3727106227106227,0.178585916,0.465899158,0.3803009709638579,1.0,0.5654,0.6315,0.6409999999999999,0.6737,1.0
est,ces,47.94,5,25,0.184067066,114304,2737,41.762513701132626,0.091965586,0.323237952,0.5119208212568355,1.0,0.5463,0.7240000000000001,0.0002,0.6784,0.0591
est,rus,46.5,8,22,0.1566883919999999,55398,2737,20.240409207161125,0.123916395,0.323237952,0.3802452950952518,1.0,0.5416,0.7014,0.6162,0.688,0.1505
est,nor,51.58,3,27,0.204613185,34170,2737,12.48447204968944,0.106159434,0.323237952,0.4510129406743042,1.0,0.6257,0.6257,0.0002,0.0,0.0359
est,spa,40.93,17,13,0.174181668,31546,2737,11.525758129338692,0.0791871859999999,0.323237952,0.5700535535715152,1.0,0.5485,0.7070000000000001,0.5922,0.6832,0.1347
est,kor,16.7,29,1,0.1469725969999999,30426,2737,11.116550968213373,0.294432976,0.323237952,0.0079412769556886,1.0,0.6175,0.7499,0.6409999999999999,0.6737,0.3622
est,pol,42.9,15,15,0.153054055,22646,2737,8.274022652539276,0.223329008,0.323237952,0.0955353379893279,1.0,0.5007,0.7033,0.6162,0.6597,0.0447
est,nld,44.48,12,18,0.168875536,19452,2737,7.107051516258678,0.133302703,0.323237952,0.3452760447024556,1.0,0.604,0.7747,0.0002,0.6068,0.0693
est,por,40.02,22,8,0.1680759819999999,19763,2737,7.220679576178298,0.095460698,0.323237952,0.496564894342052,1.0,0.5122,0.7090000000000001,0.0002,0.6328,0.1341
est,lat,28.26,26,4,0.025828023,17140,2737,6.262331019364267,0.158874645,0.323237952,0.258562208426816,1.0,0.7219,0.7219,0.0002,0.0,0.1043
est,fra,40.64,19,11,0.190584644,16032,2737,5.857508220679576,0.118520741,0.323237952,0.4011104896084247,1.0,0.5868,0.7619,0.5456,0.6025,0.093
est,deu,46.6,7,23,0.16654956,14613,2737,5.339057362075265,0.187631727,0.323237952,0.1760007666606915,1.0,0.6058,0.7703,0.5456,0.6153,0.0691
est,hin,32.07,24,6,0.103263635,14963,2737,5.466934599926927,0.060393443,0.323237952,0.6612308758881671,1.0,0.5803,0.7761,0.5922,0.5363,0.2818
est,cat,40.56,20,10,0.187895234,14832,2737,5.419071976616734,0.074013319,0.323237952,0.5944799850352049,1.0,0.5996,0.7838,0.6162,0.6461,0.1185
est,ita,41.28,16,14,0.1726067889999999,13685,2737,5.0,0.102554534,0.323237952,0.4661167510778185,1.0,0.5507,0.7084,0.0002,0.6737,0.098
