task_lang,transfer_lang,accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
ben,spa,0.32,7,47,0.0,10000,10000,1.0,0.9231,0.6267,0.5792,0.4208,0.5849,0.3158,,3.0,0.6185,0.10441127125008554
ben,swa,0.2,33,21,0.0002,10000,10000,1.0,1.0,0.7177,0.5767,0.409,0.5509,0.2598,,3.184,0.5132,0.1309018617044596
ben,swe,0.19,35,19,0.0,10000,10000,1.0,0.8571,0.5489,0.4921,0.3613,0.4906,0.2612,,3.07,0.6368,0.0988475046696975
ben,tam,0.25,18,36,0.0,10000,10000,1.0,1.0,0.4518,0.4451,0.2871,0.4661,0.0781,,3.158,0.362,0.09454823977640703
ben,tel,0.38,5,49,0.0,5991,10000,0.5991,1.0,0.5019,0.3596,0.2566,0.3198,0.0594,,3.076,0.3548,0.05812355793882229
ben,tgk,0.24,21,33,0.0,10000,10000,1.0,0.8,0.684,0.684,,,0.1061,,3.01,0.5893,0.08628864752704002
ben,tgl,0.3,11,43,0.0,10000,10000,1.0,1.0,0.6957,0.5237,0.319,0.461,0.1414,,3.158,0.551,0.10344923822345653
ben,tha,0.1,44,10,0.0001,10000,10000,1.0,1.0,0.7305,0.4948,0.2566,0.4147,0.0641,,3.22,0.554,0.09958597507382394
ben,tir,0.02,51,3,0.0,81,10000,0.0081,1.0,0.4918,0.5427,0.3433,0.5877,0.2131,,3.188,0.5541,0.10053753509718855
ben,tuk,0.23,22,32,0.0001,1152,10000,0.1152,1.0,0.3433,0.3141,0.0,,0.1323,,3.125,0.5893,0.09534676750887838
ben,tur,0.32,7,47,0.0,10000,10000,1.0,1.0,0.5765,0.554,0.4208,0.5667,0.2193,,3.13,0.6185,0.11333743749245306
ben,ukr,0.22,26,28,0.0,10000,10000,1.0,0.8333,0.5779,0.526,0.2952,0.5256,0.244,,3.066,0.7434,0.09059826766038181
ben,uig,0.14,40,14,0.0,1167,10000,0.1167,1.0,0.5126,0.5127,0.5,,0.097,,3.16,0.5893,0.07803771631890277
ben,uzb,0.23,22,32,0.0,10000,10000,1.0,1.0,0.4736,0.5098,0.3433,0.5491,0.1101,,3.219,0.6035,0.07983551654420595
ben,vie,0.14,40,14,0.0,10000,10000,1.0,1.0,0.7012,0.5162,0.1722,0.499,0.0755,,3.166,0.6791,0.11811860657120166
ben,xho,0.04,49,5,0.0,218,10000,0.0218,1.0,0.7379,0.577,0.3433,0.5552,0.334,,3.186,0.6185,0.12680350850846966
ben,yor,0.23,22,32,0.0002,7227,10000,0.7227,1.0,0.7675,0.5348,0.3743,0.4464,0.344,,3.125,0.5893,0.09695775386445926
ben,zul,0.17,37,17,0.0,462,10000,0.0462,1.0,0.6969,0.5917,0.4225,0.5757,0.3143,,3.23,0.6185,0.11583280888258829
jav,amh,0.66,23,31,0.0001081899816077,2028,9243,0.2194092827004219,1.0,0.6506,0.5644,0.4717,0.4308,0.3024,0.8245,3.102,0.572,0.12537419947905304
jav,ara,0.64,45,9,0.0,10000,9243,1.0818998160770312,1.0,0.6077,0.6987,,,0.2962,0.8278,3.14,0.5335,0.10550573061747914
jav,aze,0.66,23,31,0.0114681380504165,10000,9243,1.0818998160770312,1.0,0.6383,0.5939,0.3824,0.5511,0.3007,0.761,2.965,,0.10732835706154376
jav,ben,0.67,9,45,0.0,10000,9243,1.0818998160770312,1.0,0.711,0.5035,0.4407,0.4621,0.1428,,3.059,0.6185,0.10075461064230062
jav,cat,0.66,23,31,0.0159039272963323,10000,9243,1.0818998160770312,1.0,0.5386,0.4897,0.3613,0.3445,0.4048,0.9304,3.016,0.0,0.08670315593104216
jav,ceb,0.67,9,45,0.0037866493562696,10000,9243,1.0818998160770312,0.5714,0.5102,0.4644,0.2163,0.4751,0.0735,0.359,2.992,0.0,0.048572591271447974
jav,ckb,0.66,23,31,0.0001081899816077,6279,9243,0.679324894514768,1.0,0.7125,0.5471,0.47,0.5172,0.297,0.6082,3.053,0.3776,0.10746840074994479
jav,deu,0.67,9,45,0.0068159688412852,10000,9243,1.0818998160770312,1.0,0.5959,0.4803,0.4407,0.453,0.3832,,3.152,0.0,0.0839329375983815
jav,fas,0.65,38,16,0.0,10000,9243,1.0818998160770312,1.0,0.5541,0.5492,0.5295,0.4813,0.2608,0.7145,2.982,,0.10614127074038426
jav,fra,0.67,9,45,0.0071405387861084,10000,9243,1.0818998160770312,1.0,0.575,0.5413,0.3743,0.4554,0.4037,0.8826,3.084,0.0,0.1018611462927681
jav,hau,0.65,38,16,0.0164448772043708,1071,9243,0.11587147030185,1.0,0.4862,0.5443,0.5295,0.5347,0.4007,0.7837,3.035,0.3776,0.08757682812743506
jav,hin,0.68,4,50,0.0,10000,9243,1.0818998160770312,1.0,0.7487,0.5565,0.47,0.4314,0.184,0.7352,3.12,0.4287,0.11876911488551811
jav,hun,0.66,23,31,0.014930217461863,10000,9243,1.0818998160770312,1.0,0.639,0.5438,0.3613,0.437,0.3685,0.761,3.04,0.0,0.11264927946512271
jav,ilo,0.67,9,45,0.0507411013740127,3549,9243,0.3839662447257384,0.4,0.5459,0.4742,0.2163,0.4208,0.0876,0.5565,3.084,0.0,0.08182704102402916
jav,ind,0.82,1,53,0.0585307800497673,10000,9243,1.0818998160770312,0.6667,0.284,0.3638,0.3613,0.3606,0.0314,0.5765,3.092,0.3776,0.0325999543872324
