task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic,syntactic,phonological,inventory,featural,hyper_genetic,scriptural,islands
mina1269,stan1293,0.2342342342342342,0.1829784827887295,eng,1.0,0.7,0.87,0.5687,0.5983,0.9,3.2489462,0.1864,0.2436228736142988
chav1241,stan1293,0.4594594594594595,0.4201019015092241,eng,0.9386000037193298,0.6,0.67,0.5687,0.5983,0.8,3.0770736,0.1864,0.2671421447124849
salt1242,stan1293,0.1818181818181818,0.1530571134588351,eng,1.0,0.7,0.81,0.5687,0.5983,0.9,3.10994,0.1864,0.21502946734512618
kwom1262,stan1293,0.1351351351351351,0.0901569472998044,eng,1.0,0.7,0.74,0.471,0.5962,0.6,3.1441371,0.1864,0.2255432750951848
oksa1245,stan1293,0.2972972972972973,0.2197245322245322,eng,1.0,0.7,0.71,0.8632,0.5983,0.8,3.1766016,0.1864,0.21806858452641886
papa1238,stan1293,0.2792792792792792,0.2074424198189194,eng,1.0,0.4,0.79,0.614,0.5664,0.6,3.0979497,0.1864,0.2003653304351316
diux1235,stan1293,0.1351351351351351,0.0637619437619437,eng,1.0,0.4,0.9,1.0,0.5983,1.0,3.2204266,0.1864,0.25260177262597283
caqu1242,stan1293,0.1621621621621621,0.0944491529857383,eng,1.0,0.5,0.9,0.5687,0.6132,0.7,3.2369518,0.1864,0.21307115178227376
hixk1239,stan1293,0.1181818181818181,0.0791814246359701,eng,1.0,0.4,0.8,0.4121,0.578,0.7,3.1377227,0.1864,0.22915312770396012
tang1347,stan1293,0.2972972972972973,0.2705039397343514,eng,1.0,0.8,0.57,0.5687,0.5983,0.6,3.253009,0.1864,0.19808091958260876
east2538,stan1293,0.2252252252252252,0.188520983704831,eng,1.0,0.4,0.79,0.5687,0.5983,0.9,3.201489,0.1864,0.24580728088449566
faiw1243,stan1293,0.1891891891891892,0.1380835380835381,eng,1.0,0.7,0.9,0.5687,0.5623,0.7,3.1744936,0.1864,0.21087995754115885
sanj1285,stan1293,0.2432432432432432,0.1710068677810613,eng,1.0,0.4,0.88,1.0,0.5983,0.9,3.2284195,0.1864,0.24256972950098665
cavi1250,stan1293,0.1801801801801801,0.1335892191643865,eng,1.0,0.5,0.8,0.5687,0.5978,0.7,3.1568658,0.1864,0.24555338448393327
sout2994,stan1293,0.160377358490566,0.0571065239250014,eng,1.0,0.5,0.87,0.6648,0.529,0.7,3.0324447,0.1864,0.2513071598879004
tetu1246,stan1293,0.2252252252252252,0.1656121198804125,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.2501647,0.1864,0.19350087053072718
maka1304,stan1293,0.1801801801801801,0.1104245824667379,eng,1.0,0.3,0.78,0.5687,0.429,0.6,3.17135,0.1864,0.1818673269921196
boko1267,stan1293,0.1261261261261261,0.0744925838478133,eng,1.0,0.2,0.86,0.8886,0.5983,0.9,3.1620436,0.1864,0.2129030628157671
ashe1273,stan1293,0.1743119266055046,0.0889370459231564,eng,1.0,0.5,0.9,0.5687,0.5983,0.9,3.2519767,0.1864,0.25147432258782487
coat1241,stan1293,0.1351351351351351,0.0369600369600369,eng,1.0,0.4,0.9,1.0,0.5983,0.9,3.2454944,0.1864,0.2528292455002171
tzut1248,stan1293,0.2792792792792792,0.2292404292404292,eng,1.0,0.4,0.57,0.5687,0.5516,0.7,3.2201211,0.1864,0.19394480457636976
safe1240,stan1293,0.1801801801801801,0.1317491535045923,eng,1.0,0.7,0.9,0.5687,0.5983,0.9,3.1326797,0.1864,0.2511566995246757
