,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHICAL,Unnamed: 18,GEOGRAPHIC
77,nor,ron,63.33,11,19,0.13332359,8795,3450,2.5492753623188404,0.167303215,0.206890882,0.0366131516784058,0.8989,0.2036,0.2468,0.4862,0.5662,0.0888,0.399,0.0986752228503053
78,nor,hrv,62.98,13,17,0.157657246,7832,3450,2.270144927536232,0.216688845,0.206890882,0.0022427914307449,0.8919,0.343,0.339,0.6466,0.5288,0.0853,0.0683,0.09017832356155886
79,nor,ara,37.32,27,3,0.084491861,6984,3450,2.0243478260869567,0.1033986809999999,0.206890882,0.2502260639420608,1.0,0.4963,0.7331,1.1101,1.3461,1.0,0.3998,0.2036888248672399
80,nor,lav,59.73,18,12,0.119457791,6475,3450,1.8768115942028984,0.268650981,0.206890882,0.0891113996068163,0.8337,0.4761,0.7111,0.3508,1.3461,0.0451,0.2494,0.05377111153391024
81,nor,heb,39.59,26,4,0.109958165,5725,3450,1.6594202898550725,0.117344567,0.206890882,0.187332330039128,1.0,0.4704,0.5543,0.7152,0.5518,0.1853,0.3032,0.19246644190989348
82,nor,ukr,64.3,8,22,0.117758819,5090,3450,1.4753623188405798,0.31926283,0.206890882,0.2950075405895644,0.8718,0.4595,0.5418,0.6561,0.59,0.0803,0.2833,0.09999222901274901
83,nor,ind,52.98,22,8,0.127477667,5036,3450,1.4597101449275365,0.197096308,0.206890882,0.0022412401887895,1.0,0.3996,0.4357,0.4667,0.4988,0.5622,0.1639,0.5619056277894214
84,nor,dan,68.94,3,27,0.528069566,4947,3450,1.4339130434782608,0.203165045,0.206890882,0.0003243134799531,0.4788,0.4895,0.7211,1.1101,1.3461,0.0286,0.4189,0.025685428406508577
85,nor,swe,72.67,1,29,0.34269899,4807,3450,1.393333333333333,0.193727962,0.206890882,0.0040478254952898,0.4788,0.4945,0.5422,0.5879,0.4632,0.0206,0.2034,0.03187924112279191
86,nor,zho,39.73,25,5,0.103856483,4497,3450,1.3034782608695652,0.178585916,0.206890882,0.0187172729219721,1.0,0.564,0.5736,0.4327,0.5583,1.0,0.3556,0.34378475166329325
87,spa,ces,58.28,17,13,0.18863457,114304,2147,53.23893805309734,0.091965586,0.1929523189999999,0.2739230888614469,0.9248,0.5155,0.5967,0.7993,0.5074,0.0821,0.2415,0.43673660480521337
88,spa,rus,63.84,10,20,0.128603928,55398,2147,25.802515137401024,0.123916395,0.1929523189999999,0.1280118809368482,0.9078,0.4994,0.5925,0.535,0.4918,0.2742,0.3906,0.5149908370814306
89,spa,nor,64.74,8,22,0.221536128,34170,2147,15.91523055426176,0.106159434,0.1929523189999999,0.2023337096683337,0.9176,0.3088,0.323,0.6496,0.6099,0.1153,0.4517,0.4134590804184766
90,spa,kor,21.31,29,1,0.114226906,30426,2147,14.17140195621798,0.294432976,0.1929523189999999,0.2766091457636196,1.0,0.5424,0.591,0.5959,0.5146,0.4956,0.3925,0.6442163826929853
91,spa,est,42.41,25,5,0.138585821,23460,2147,10.926874708896134,0.221928097,0.1929523189999999,0.0225512285370057,0.9638,0.5795,0.7501,1.3012,1.2476,0.1347,0.5111,0.45154721397749104
92,spa,pol,45.23,24,6,0.1173220669999999,22646,2147,10.547741034000932,0.223329008,0.1929523189999999,0.0247845401056441,0.9176,0.5807,0.644,0.5464,0.4505,0.0984,0.4826,0.43701106629952763
93,spa,nld,65.33,7,23,0.239782101,19452,2147,9.060083837913368,0.133302703,0.1929523189999999,0.0955686165871949,0.9386,0.561,0.6112,0.7794,0.5268,0.0683,0.5082,0.3966006163604818
94,spa,por,74.58,2,28,0.4665026229999999,19763,2147,9.204937121564974,0.095460698,0.1929523189999999,0.2552904553526889,0.1864,0.5462,0.6054,0.7691,0.4523,0.0156,0.3858,0.23046637311992757
95,spa,lat,45.37,23,7,0.083058638,17140,2147,7.983232417326502,0.158874645,0.1929523189999999,0.0311917601681306,0.5533,0.5984,0.6515,0.6879,0.7327,0.0573,0.3654,0.4340733831454201
96,spa,fra,74.37,3,27,0.359704103,16032,2147,7.467163483931067,0.118520741,0.1929523189999999,0.1488039459301655,0.4601,0.4831,0.5673,0.5741,0.549,0.0438,0.0086,0.34841001861263543
97,spa,deu,61.27,13,17,0.156630608,14613,2147,6.806241266884024,0.187631727,0.1929523189999999,0.0007603611330925,0.9248,0.2339,0.2706,0.5996,0.6027,0.0703,0.15,0.40264960955171397
98,spa,hin,31.24,28,2,0.070724422,14963,2147,6.969259431765254,0.060393443,0.1929523189999999,0.4719735064700861,0.9304,0.5405,0.5925,0.5741,0.5652,0.3634,0.2405,0.6996715489411679
99,spa,cat,82.77,1,29,0.50062677,14832,2147,6.9082440614811365,0.074013319,0.1929523189999999,0.3799693452718723,0.2677,0.5824,0.6157,0.5303,0.4296,0.0205,0.394,0.367669601202807
100,spa,ita,73.88,4,26,0.287277342,13685,2147,6.374010246856078,0.102554534,0.1929523189999999,0.2194904219093977,0.5295,0.5456,0.6062,0.7634,0.4713,0.0588,0.1288,0.40681038415422643
