,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
67,jav,ind,0.82,1,53,0.0585307800497673,10000,9243,1.0818998160770312,0.6854,0.3859,0.375,0.552,0.3426,0.0007093095486121737
68,jav,ita,0.68,4,50,0.0095207183814778,10000,9243,1.0818998160770312,1.0,0.5408,0.5434,0.4161,0.4225,0.5747446741095183
69,jav,kaz,0.65,38,16,0.0009737098344693,10000,9243,1.0818998160770312,1.0,0.3297,0.5724,0.9426,1.3243,0.35435384596900077
70,jav,kin,0.64,45,9,0.0121172779400627,864,9243,0.0934761441090555,1.0,0.374,0.4081,0.4992,0.4751,0.48575591799850076
71,jav,kir,0.66,23,31,0.0009737098344693,10000,9243,1.0818998160770312,1.0,0.3784,0.4113,0.4852,0.4916,0.3251093348839946
72,jav,kur,0.66,23,31,0.0542031807854592,4006,9243,0.4334090663204587,1.0,0.4288,0.4461,0.5019,0.4916,0.46416035289830404
73,jav,lao,0.63,51,3,0.0004327599264308,521,9243,0.0563669804176133,1.0,0.338,0.3331,0.357,0.3994,0.15611271274352545
74,jav,mar,0.67,9,45,0.0,10000,9243,1.0818998160770312,1.0,0.511,0.5066,0.3951,0.3894,0.2471348544012544
75,jav,mlt,0.65,38,16,0.0202315265606404,1390,9243,0.1503840744347073,1.0,0.4209,0.4579,0.4687,0.4356,0.5376699966250408
76,jav,mya,0.63,51,3,0.001081899816077,3282,9243,0.3550795196364816,1.0,0.5317,0.5305,0.6126,0.3977,0.17140104538687323
77,jav,msa,0.72,2,52,0.0336470842799956,10000,9243,1.0818998160770312,0.6854,0.3638,0.3977,0.4161,0.411,0.04128491774119139
78,jav,nld,0.69,3,51,0.0106026181975549,10000,9243,1.0818998160770312,1.0,0.5183,0.5229,0.3632,0.4277,0.5889352402588949
79,jav,nya,0.64,45,9,0.0087633885102239,237,9243,0.0256410256410256,1.0,0.4231,0.6238,1.0282,1.3243,0.46806500638957627
80,jav,orm,0.65,38,16,0.0014064697609001,265,9243,0.0286703451260413,1.0,0.3971,0.4182,0.5996,0.3675,0.4347243358503966
81,jav,pan,0.67,9,45,0.0001081899816077,7902,9243,0.8549172346640701,1.0,0.5592,0.5473,0.3797,0.375,0.25802389349468724
82,jav,pol,0.67,9,45,0.0129827977929243,10000,9243,1.0818998160770312,1.0,0.5694,0.5808,0.4093,0.4677,0.5390776854274956
83,jav,por,0.67,9,45,0.0131991777561397,10000,9243,1.0818998160770312,1.0,0.5351,0.5372,0.3797,0.4009,0.8770287716717423
84,jav,ron,0.68,4,50,0.0312669046846262,10000,9243,1.0818998160770312,1.0,0.4221,0.4322,0.344,0.4377,0.5161024324344764
85,jav,rus,0.64,45,9,0.0007573298712539,10000,9243,1.0818998160770312,1.0,0.5561,0.5782,0.551,0.4955,0.396206274842586
86,jav,sna,0.66,23,31,0.0182841068917018,592,9243,0.0640484691117602,1.0,0.4585,0.4884,0.4518,0.4769,0.48326446176792576
87,jav,som,0.65,38,16,0.0256410256410256,1246,9243,0.1348047170831981,1.0,0.4634,0.4593,0.5807,0.4237,0.42049753281026253
88,jav,spa,0.68,4,50,0.0110353781239857,10000,9243,1.0818998160770312,1.0,0.4817,0.4908,0.7355,0.5034,0.789919760935095
89,jav,swa,0.67,9,45,0.1000757329871254,10000,9243,1.0818998160770312,1.0,0.4942,0.5113,0.5853,0.4245,0.46025122559810405
90,jav,swe,0.67,9,45,0.0129827977929243,10000,9243,1.0818998160770312,1.0,0.5225,0.5294,0.3797,0.483,0.5347736635199934
91,jav,tam,0.66,23,31,0.0001081899816077,10000,9243,1.0818998160770312,1.0,0.4902,0.4919,0.3999,0.4245,0.24381909882709574
92,jav,tel,0.68,4,50,0.0001081899816077,5991,9243,0.6481661798117494,1.0,0.4871,0.4949,0.4458,0.4125,0.2475665879299704
93,jav,tgk,0.66,23,31,0.0006491398896462,10000,9243,1.0818998160770312,1.0,0.411,0.6189,1.0282,1.3243,0.3339148747140007
94,jav,tgl,0.67,9,45,0.0439251325327274,10000,9243,1.0818998160770312,0.6614,0.3654,0.3724,0.5692,0.4377,0.14357982905325867
95,jav,tha,0.64,45,9,0.0002163799632154,10000,9243,1.0818998160770312,1.0,0.412,0.3991,0.5853,0.4123,0.13304680855756348
96,jav,tir,0.64,45,9,0.0,81,9243,0.0087633885102239,1.0,0.3687,0.4054,0.4672,0.4978,0.43888178465395666
97,jav,tuk,0.66,23,31,0.0114681380504165,1152,9243,0.124634858812074,1.0,0.4057,0.6475,0.9426,1.3243,0.370687557030001
