Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
jav,ckb,0.66,23,31,0.00010818998160770312,6279,9243,0.679324894514768,1.0,0.762,0.9339,0.7223,0.611,0.3907
jav,deu,0.67,9,45,0.006815968841285297,10000,9243,1.0818998160770312,1.0,0.81,0.5827,0.5533,0.45299999999999996,0.5332
jav,fra,0.67,9,45,0.007140538786108406,10000,9243,1.0818998160770312,1.0,0.8126,0.5822,0.5533,0.4554,0.5719
jav,hau,0.65,38,16,0.016444877204370874,1071,9243,0.11587147030185005,1.0,0.8044,0.6291,0.5533,0.5347,0.5666
jav,hin,0.68,4,50,0.0,10000,9243,1.0818998160770312,1.0,0.9059999999999999,0.5628,0.5,0.4314,0.231
jav,hun,0.66,23,31,0.014930217461863031,10000,9243,1.0818998160770312,1.0,0.7757,0.583,0.5,0.4370000000000001,0.507
jav,ilo,0.67,9,45,0.05074110137401277,3549,9243,0.3839662447257384,0.4,0.8648,0.5631,0.7223,0.4208,0.1072
jav,ind,0.82,1,53,0.05853078004976739,10000,9243,1.0818998160770312,0.6667,0.7369,0.5263,0.529,0.3606,0.0381
jav,ita,0.68,4,50,0.009520718381477876,10000,9243,1.0818998160770312,1.0,0.7984,0.6118,0.7223,0.4456,0.5356
jav,kaz,0.65,38,16,0.0009737098344693283,10000,9243,1.0818998160770312,1.0,0.7048,0.9275,1.0,0.611,0.3264
jav,kin,0.64,45,9,0.01211727794006275,864,9243,0.0934761441090555,1.0,0.7048,0.5767,0.7223,0.5009,0.4513
jav,kir,0.66,23,31,0.0009737098344693283,10000,9243,1.0818998160770312,1.0,0.8608,0.5925,0.5533,0.5172,0.3
jav,kur,0.66,23,31,0.054203180785459264,4006,9243,0.4334090663204587,1.0,0.9176,0.9767,0.7223,0.611,0.3908
jav,lao,0.63,51,3,0.0004327599264308125,521,9243,0.05636698041761332,1.0,0.7567,0.5579,0.7223,0.4208,0.0987
jav,mar,0.67,9,45,0.0,10000,9243,1.0818998160770312,1.0,0.8831,0.5672,0.7223,0.409,0.2134
jav,mlt,0.65,38,16,0.020231526560640485,1390,9243,0.15038407443470736,1.0,1.0,0.5557,0.7223,0.46,0.5308
jav,mya,0.63,51,3,0.0010818998160770314,3282,9243,0.3550795196364817,1.0,0.8499,0.5698,0.5741,0.4176,0.1501
jav,nld,0.69,3,51,0.010602618197554906,10000,9243,1.0818998160770312,1.0,0.7844,0.5766,0.7223,0.4485,0.5564
jav,nya,0.64,45,9,0.008763388510223956,237,9243,0.02564102564102564,1.0,0.7763,0.9377,0.7223,0.611,0.4351
jav,pan,0.67,9,45,0.00010818998160770312,7902,9243,0.8549172346640701,1.0,0.9059999999999999,0.5777,0.7223,0.3915,0.2522
jav,pol,0.67,9,45,0.012982797792924376,10000,9243,1.0818998160770312,1.0,0.8015,0.6046,0.4646,0.4931,0.5103
jav,por,0.67,9,45,0.01319917775613978,10000,9243,1.0818998160770312,1.0,0.7952,0.5788,0.7223,0.4213,0.6042
jav,ron,0.68,4,50,0.0312669046846262,10000,9243,1.0818998160770312,1.0,0.7984,0.5796,0.4196,0.4611,0.4895
jav,rus,0.64,45,9,0.0007573298712539219,10000,9243,1.0818998160770312,1.0,0.8151,0.6446,0.4646,0.5242,0.3504
jav,sna,0.66,23,31,0.018284106891701832,592,9243,0.06404846911176025,1.0,0.7229,0.5775,0.7223,0.501,0.452
jav,som,0.65,38,16,0.02564102564102564,1246,9243,0.1348047170831981,1.0,0.8989,0.5777,0.529,0.4438,0.366
jav,spa,0.68,4,50,0.01103537812398572,10000,9243,1.0818998160770312,1.0,0.8174,0.6516,0.5,0.5324,0.5942
jav,swa,0.67,9,45,0.1000757329871254,10000,9243,1.0818998160770312,1.0,0.855,0.6905,0.7223,0.611,1.0
jav,swe,0.67,9,45,0.012982797792924376,10000,9243,1.0818998160770312,1.0,0.7805,0.6127,0.7223,0.5072,0.5125
jav,tam,0.66,23,31,0.00010818998160770312,10000,9243,1.0818998160770312,1.0,0.8877,0.5925,0.7223,0.4456,0.1875
