Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
ukr,nld,0.28,10,44,0.0003,10000,10000,1.0,0.9047,0.498,0.4885,0.3455,0.4527,0.0593
ukr,nya,0.06,48,6,0.0,237,10000,0.0237,1.0,0.6571,0.5739,0.4054,0.4362,0.2713
ukr,pan,0.27,15,39,0.0,7902,10000,0.7902,0.8831,0.5633,0.5238,0.2566,0.5008,0.1892
ukr,pol,0.33,4,50,0.0003,10000,10000,1.0,0.5903,0.4494,0.4603,0.1864,0.4504,0.0239
ukr,por,0.17,32,22,0.0005,10000,10000,1.0,0.9139,0.4265,0.4051,0.2566,0.4048,0.0951
ukr,ron,0.28,10,44,0.0005,10000,10000,1.0,0.8989,0.4642,0.4221,0.1864,0.3519,0.0082
ukr,rus,0.42,1,53,0.0047,10000,10000,1.0,0.2952,0.3691,0.3869,0.195,0.385,0.1354
ukr,sna,0.12,38,16,0.0,592,10000,0.0592,1.0,0.6768,0.6061,0.5096,0.4752,0.2793
ukr,som,0.09,46,8,0.0003,1246,10000,0.1246,1.0,0.5426,0.5298,0.3776,0.5256,0.2061
ukr,spa,0.25,19,35,0.0006,10000,10000,1.0,0.9176,0.4422,0.4688,0.2736,0.5275,0.0896
ukr,swa,0.15,36,18,0.0003,10000,10000,1.0,1.0,0.6454,0.5762,0.4576,0.4304,0.249
ukr,swe,0.28,10,44,0.0006,10000,10000,1.0,0.8831,0.4969,0.5071,0.3277,0.5227,0.0563
ukr,tam,0.17,32,22,0.0,10000,10000,1.0,1.0,0.6563,0.5912,0.3277,0.5559,0.2538
ukr,tel,0.26,17,37,0.0,5991,10000,0.5991,1.0,0.6212,0.5596,0.2736,0.5157,0.2359
ukr,tgk,0.27,15,39,0.0012,10000,10000,1.0,0.9047,0.687,0.6228,0.3498,0.4825,0.1473
ukr,tgl,0.18,28,26,0.0007,10000,10000,1.0,1.0,0.5391,0.5372,0.3277,0.4828,0.3461
ukr,tha,0.11,42,12,0.0001,10000,10000,1.0,1.0,0.6158,0.5928,0.427,0.4683,0.2972
ukr,tir,0.04,51,3,0.0,81,10000,0.0081,1.0,0.6003,0.5389,0.3064,0.4829,0.1562
ukr,tuk,0.18,28,26,0.0,1152,10000,0.1152,1.0,0.6544,0.5577,0.2736,0.4528,0.1244
ukr,tur,0.3,6,48,0.001,10000,10000,1.0,1.0,0.6142,0.5386,0.2736,0.4752,0.0471
ukr,uig,0.12,38,16,0.0,1167,10000,0.1167,1.0,0.6727,0.5859,0.4477,0.494,0.1689
ukr,uzb,0.29,7,47,0.0,10000,10000,1.0,1.0,0.6314,0.583,0.4576,0.5613,0.1439
ukr,vie,0.19,27,27,0.0005,10000,10000,1.0,1.0,0.6401,0.6219,0.432,0.4844,0.3009
ukr,xho,0.05,49,5,0.0002,218,10000,0.0218,1.0,0.6438,0.5429,0.4034,0.4118,0.3287
ukr,yor,0.14,37,17,0.0001,7227,10000,0.7227,1.0,0.6613,0.6068,0.4477,0.3673,0.1969
ukr,zul,0.12,38,16,0.0001,462,10000,0.0462,1.0,0.6408,0.5749,0.432,0.441,0.3094
uig,amh,0.21,14,40,0.0,2028,1167,1.737789203084833,1.0,0.5724,0.5166,0.4208,0.4898,0.2069
uig,ara,0.12,40,14,0.0,10000,1167,8.56898029134533,1.0,0.7606,0.6208,0.5064,0.3571,0.1466
uig,aze,0.29,2,52,0.0068551842330762,10000,1167,8.56898029134533,0.5804,0.5233,0.5151,0.4477,0.5879,0.1112
uig,ben,0.21,14,40,0.0,10000,1167,8.56898029134533,1.0,0.5743,0.5255,0.5273,0.529,0.097
uig,cat,0.2,18,36,0.0,10000,1167,8.56898029134533,1.0,0.7506,0.6387,0.3862,0.4849,0.2349
uig,ceb,0.17,30,24,0.0,10000,1167,8.56898029134533,1.0,0.7979,0.6193,0.3862,0.3199,0.2284
uig,ckb,0.2,18,36,0.0025706940874035,6279,1167,5.380462724935732,1.0,0.6975,0.7368,0.7952,0.7748,0.1223
uig,deu,0.19,22,32,0.0,10000,1167,8.56898029134533,1.0,0.6547,0.5629,0.4498,0.5062,0.1999
uig,fas,0.15,37,17,0.0,10000,1167,8.56898029134533,1.0,0.7044,0.5869,0.5273,0.469,0.1118
uig,fra,0.16,33,21,0.0,10000,1167,8.56898029134533,1.0,0.763,0.6499,0.496,0.5469,0.2269
uig,hau,0.16,33,21,0.0085689802913453,1071,1167,0.9177377892030848,1.0,0.7799,0.677,0.5469,0.5564,0.2907
uig,hin,0.24,4,50,0.0,10000,1167,8.56898029134533,1.0,0.6153,0.5884,0.496,0.5922,0.0855
uig,hun,0.19,22,32,0.001713796058269,10000,1167,8.56898029134533,1.0,0.6466,0.568,0.4788,0.5122,0.1834
uig,ilo,0.18,28,26,0.0085689802913453,3549,1167,3.041131105398457,1.0,0.7771,0.6035,0.3433,0.4196,0.1965
uig,ind,0.22,8,46,0.0042844901456726,10000,1167,8.56898029134533,1.0,0.7786,0.6375,0.4788,0.409,0.2495
uig,ita,0.19,22,32,0.0,10000,1167,8.56898029134533,1.0,0.7203,0.6428,0.4477,0.5228,0.2083
uig,jav,0.19,22,32,0.0119965724078834,9243,1167,7.920308483290489,1.0,0.8363,0.6877,0.4788,0.5122,0.2277
uig,kaz,0.18,28,26,0.0,10000,1167,8.56898029134533,0.5804,0.6148,0.552,0.5,0.2952,0.0476
uig,kin,0.12,40,14,0.0051413881748071,864,1167,0.7403598971722365,1.0,0.7891,0.6456,0.6123,0.469,0.2719
uig,kir,0.22,8,46,0.0008568980291345,10000,1167,8.56898029134533,0.5804,0.442,0.4537,0.4498,0.5564,0.0208
uig,kur,0.22,8,46,0.0111396743787489,4006,1167,3.43273350471294,1.0,0.5849,0.5342,0.4745,0.5564,0.1214
uig,lao,0.04,52,2,0.0,521,1167,0.4464438731790917,1.0,0.8158,0.6805,0.4788,0.4196,0.1551
uig,mar,0.23,5,49,0.0,10000,1167,8.56898029134533,1.0,0.5981,0.5501,0.4097,0.5127,0.1168
uig,mlt,0.09,48,6,0.0034275921165381,1390,1167,1.1910882604970008,1.0,0.7202,0.6169,0.5348,0.4661,0.2168
uig,mya,0.04,52,2,0.0,3282,1167,2.8123393316195373,1.0,0.6557,0.5846,0.5273,0.4935,0.1163
uig,msa,0.23,5,49,0.0008568980291345,10000,1167,8.56898029134533,1.0,0.8335,0.6731,0.3433,0.4419,0.1983
uig,nld,0.12,40,14,0.0008568980291345,10000,1167,8.56898029134533,1.0,0.6996,0.616,0.4745,0.5417,0.2133
uig,nya,0.08,49,5,0.0034275921165381,237,1167,0.2030848329048843,1.0,0.8354,0.6415,0.4717,0.3098,0.3047
uig,pan,0.22,8,46,0.0,7902,1167,6.77120822622108,1.0,0.6442,0.5833,0.4208,0.5577,0.0639
uig,pol,0.19,22,32,0.0,10000,1167,8.56898029134533,1.0,0.6866,0.6191,0.3862,0.5177,0.1804
uig,por,0.16,33,21,0.0,10000,1167,8.56898029134533,1.0,0.7316,0.636,0.4208,0.5062,0.2535
uig,ron,0.23,5,49,0.001713796058269,10000,1167,8.56898029134533,1.0,0.685,0.5836,0.4788,0.4976,0.1714
uig,rus,0.17,30,24,0.0,10000,1167,8.56898029134533,1.0,0.6461,0.5944,0.4097,0.5273,0.0518
uig,sna,0.15,37,17,0.0051413881748071,592,1167,0.5072836332476436,1.0,0.8392,0.6898,0.5587,0.525,0.3177
uig,som,0.13,39,15,0.0077120822622107,1246,1167,1.067694944301628,1.0,0.6511,0.5945,0.5641,0.5957,0.2163
uig,spa,0.2,18,36,0.0,10000,1167,8.56898029134533,1.0,0.7351,0.628,0.5348,0.5354,0.2493
